ad_id,seller_id,category,title,posted_date,sold_date,deletion_date,price,status
79,53,Roupas,Item Id 100,2025-02-06,2025-03-21,,284.34,Sold
80,499,Livros,Item Nihil 96,2025-09-02,,,85.73,Active
81,84,Móveis,Item Libero 53,2025-09-05,2025-10-31,,22.15,Sold
82,401,Brinquedos,Item Atque 86,2025-01-04,,2025-02-16,433.39,Deleted
83,82,Esportes,Item Debitis 14,2025-05-31,2025-06-18,,197.45,Sold
84,241,Móveis,Item Esse 26,2024-12-25,2025-02-18,,410.13,Sold
85,180,Roupas,Item Accusantium 30,2025-07-14,,,119.23,Active
86,205,Roupas,Item Dolorum 36,2025-12-03,,2025-12-28,433.53,Deleted
87,180,Esportes,Item Quasi 66,2025-11-25,,,205.84,Active
88,481,Eletrônicos,Item Unde 15,2025-04-23,,2025-06-05,439.75,Deleted
89,92,Livros,Item Quaerat 34,2025-11-30,,,28.75,Active
90,177,Esportes,Item Nobis 41,2025-02-02,,2025-03-30,223.83,Deleted
91,198,Livros,Item Quod 25,2025-08-13,,2025-08-28,134.81,Deleted
92,1,Livros,Item Molestiae 69,2025-06-30,,2025-08-25,346.56,Deleted
93,101,Roupas,Item Consectetur 56,2025-03-18,,2025-06-12,44.29,Deleted
94,320,Roupas,Item Fugit 85,2025-10-04,,2025-11-16,425.53,Deleted
95,260,Roupas,Item Eligendi 86,2025-03-03,,2025-04-11,210.11,Deleted
96,357,Roupas,Item Iste 71,2025-01-19,,,72.37,Active
97,341,Brinquedos,Item Consectetur 87,2025-01-26,,,376.59,Active
98,292,Roupas,Item Sequi 52,2025-05-11,2025-06-20,,278.49,Sold
99,147,Móveis,Item Voluptatum 56,2025-09-26,2025-10-16,,395.02,Sold
100,165,Brinquedos,Item Voluptates 57,2024-12-29,,2025-03-23,226.66,Deleted
101,243,Esportes,Item Voluptas 22,2025-08-14,2025-09-16,,332.84,Sold
102,264,Esportes,Item Sit 82,2024-12-29,,,313.44,Active
103,488,Móveis,Item Molestiae 87,2025-03-23,2025-05-15,,162.11,Sold
104,13,Eletrônicos,Item In 32,2025-06-16,2025-06-26,,492.13,Sold
105,234,Brinquedos,Item Mollitia 81,2025-01-23,,2025-02-02,292.08,Deleted
106,197,Brinquedos,Item Delectus 52,2025-09-17,,2025-12-16,129.55,Deleted
107,3,Eletrônicos,Item Possimus 100,2025-04-11,,2025-07-09,218.32,Deleted
108,238,Eletrônicos,Item Est 72,2025-12-18,2025-12-23,,132.11,Sold
109,69,Brinquedos,Item Perspiciatis 86,2025-11-15,2025-12-15,,270.25,Sold
110,163,Brinquedos,Item Totam 79,2025-07-02,,2025-09-17,409.35,Deleted
111,426,Livros,Item Enim 58,2025-04-08,,2025-06-02,449.63,Deleted
112,231,Roupas,Item Nisi 97,2025-11-20,,2026-01-20,131.15,Deleted
113,393,Livros,Item Ad 63,2025-04-25,,2025-05-31,317.11,Deleted
114,226,Eletrônicos,Item Odio 92,2025-01-27,,,150.01,Active
115,172,Roupas,Item Hic 70,2025-07-27,,,49.48,Active
116,197,Esportes,Item Impedit 20,2025-02-08,2025-02-23,,356.15,Sold
117,209,Roupas,Item Placeat 70,2025-08-24,2025-09-20,,238.3,Sold
118,427,Brinquedos,Item Blanditiis 50,2025-05-26,2025-06-09,,453.37,Sold
119,11,Livros,Item Facere 49,2025-11-19,,2026-02-17,243.72,Deleted
120,153,Brinquedos,Item Labore 54,2025-04-06,,,273.73,Active
121,410,Livros,Item Ab 29,2025-02-26,,2025-05-07,249.23,Deleted
122,224,Brinquedos,Item Sit 4,2025-12-03,,,200.54,Active
123,409,Brinquedos,Item Nobis 93,2025-02-13,,2025-05-11,90.87,Deleted
124,471,Móveis,Item Ea 80,2025-11-08,,,271.72,Active
125,304,Livros,Item Ab 85,2025-01-11,,,23.28,Active
126,70,Brinquedos,Item Optio 24,2025-12-04,,2026-01-28,34.64,Deleted
127,168,Móveis,Item Voluptatem 59,2025-05-09,,,170.15,Active
128,143,Brinquedos,Item Dolores 33,2025-05-22,,,419.11,Active
129,10,Esportes,Item Similique 70,2025-11-03,,,35.52,Active
130,115,Esportes,Item Voluptatibus 9,2025-04-03,,,392.8,Active
131,387,Eletrônicos,Item Distinctio 32,2025-03-13,,2025-03-19,107.69,Deleted
132,79,Móveis,Item Suscipit 17,2025-07-10,2025-08-19,,242.04,Sold
133,486,Móveis,Item Adipisci 60,2025-06-05,2025-07-12,,352.74,Sold
134,86,Livros,Item Quam 78,2025-01-22,,,482.23,Active
135,399,Móveis,Item Ratione 40,2025-12-15,,2025-12-30,62.97,Deleted
136,160,Livros,Item Minima 87,2025-08-02,2025-10-01,,454.93,Sold
137,204,Esportes,Item Sapiente 26,2025-03-26,,,47.24,Active
138,125,Eletrônicos,Item Aut 90,2025-08-27,,2025-11-16,388.52,Deleted
139,413,Eletrônicos,Item A 73,2025-10-07,,2025-12-23,393.49,Deleted
140,273,Brinquedos,Item Deleniti 85,2025-10-10,,,191.58,Active
141,175,Eletrônicos,Item Ab 54,2025-10-02,,2025-12-24,412.94,Deleted
142,492,Roupas,Item Laudantium 82,2025-05-22,2025-06-19,,446.87,Sold
143,363,Móveis,Item Inventore 56,2025-01-23,,,96.31,Active
144,139,Livros,Item Tempora 69,2025-10-28,,2026-01-20,389.57,Deleted
145,224,Esportes,Item Pariatur 76,2025-12-13,,,141.51,Active
146,479,Eletrônicos,Item Temporibus 36,2025-09-10,2025-11-03,,442.0,Sold
147,238,Livros,Item Doloribus 79,2025-01-25,2025-03-15,,337.41,Sold
148,15,Brinquedos,Item Saepe 42,2025-05-20,,,99.1,Active
149,409,Roupas,Item Culpa 44,2025-09-18,2025-10-11,,147.03,Sold
150,451,Roupas,Item Explicabo 72,2025-10-17,,2026-01-15,14.97,Deleted
151,124,Esportes,Item Similique 53,2025-01-07,2025-01-13,,249.4,Sold
152,331,Esportes,Item Et 63,2025-12-19,2025-12-23,,229.61,Sold
153,151,Móveis,Item Perferendis 52,2025-09-18,2025-09-24,,348.98,Sold
154,340,Livros,Item Ab 48,2025-09-04,,,241.9,Active
155,218,Esportes,Item Dignissimos 71,2025-05-26,,2025-07-10,172.09,Deleted
156,139,Roupas,Item Eveniet 33,2025-01-08,,2025-03-08,122.96,Deleted
157,162,Eletrônicos,Item Natus 96,2025-05-02,,2025-05-27,272.57,Deleted
158,99,Móveis,Item Perspiciatis 95,2025-08-18,,2025-09-11,247.26,Deleted
159,390,Livros,Item Sint 77,2025-08-18,,2025-11-02,148.67,Deleted
160,100,Roupas,Item Perferendis 30,2025-05-11,2025-07-04,,186.83,Sold
161,8,Esportes,Item Atque 69,2025-01-27,,,72.03,Active
162,284,Roupas,Item Illo 90,2025-06-15,2025-06-19,,472.6,Sold
163,53,Eletrônicos,Item Excepturi 74,2025-09-16,,2025-11-18,149.33,Deleted
164,226,Roupas,Item Nobis 24,2025-07-12,,,483.09,Active
165,482,Brinquedos,Item Aliquid 15,2025-06-01,,,412.84,Active
166,252,Eletrônicos,Item Ex 74,2025-11-10,,,318.43,Active
167,77,Livros,Item Molestias 39,2025-01-29,2025-02-08,,51.74,Sold
168,286,Brinquedos,Item Pariatur 78,2025-05-13,2025-05-21,,302.1,Sold
169,398,Livros,Item Perferendis 49,2025-02-15,,2025-03-16,230.75,Deleted
170,153,Livros,Item Iusto 55,2024-12-26,,,159.64,Active
171,313,Esportes,Item Cupiditate 13,2025-11-21,,2025-11-29,474.32,Deleted
172,109,Roupas,Item Laborum 85,2025-01-11,2025-02-21,,49.78,Sold
173,283,Eletrônicos,Item Vel 21,2025-04-19,2025-05-01,,11.31,Sold
174,353,Livros,Item Fuga 61,2025-02-18,,,152.72,Active
175,362,Roupas,Item Sint 90,2025-03-02,2025-03-21,,431.21,Sold
176,120,Roupas,Item Quidem 81,2025-08-02,2025-09-15,,299.0,Sold
177,59,Livros,Item Facere 29,2025-04-15,2025-05-13,,327.34,Sold
178,424,Móveis,Item Perferendis 10,2025-07-09,,,39.22,Active
179,305,Esportes,Item Numquam 73,2025-11-05,,,461.38,Active
180,64,Brinquedos,Item Reprehenderit 89,2025-01-22,,,159.0,Active
181,483,Roupas,Item Quo 65,2025-01-31,,,274.59,Active
182,42,Livros,Item Quos 6,2025-06-20,,,445.82,Active
183,310,Roupas,Item Veniam 4,2025-10-03,,2025-11-14,54.75,Deleted
184,301,Eletrônicos,Item Beatae 98,2025-11-25,,2026-02-07,339.42,Deleted
185,296,Eletrônicos,Item Velit 98,2025-07-29,,,380.57,Active
186,266,Esportes,Item Ab 57,2025-05-15,,,458.88,Active
187,224,Esportes,Item Quas 63,2025-02-26,2025-04-05,,484.84,Sold
188,179,Brinquedos,Item Pariatur 43,2025-05-06,,,167.32,Active
189,169,Brinquedos,Item Quidem 89,2025-12-21,2025-12-23,,252.78,Sold
190,417,Livros,Item Quia 5,2025-09-25,,2025-11-16,232.86,Deleted
191,130,Roupas,Item Voluptas 15,2025-04-19,,,485.39,Active
192,443,Livros,Item Ad 1,2025-09-20,,,332.25,Active
193,212,Eletrônicos,Item Sint 25,2025-01-29,,2025-03-30,264.04,Deleted
194,321,Brinquedos,Item Doloremque 98,2025-10-28,,2025-12-31,35.29,Deleted
195,282,Móveis,Item Culpa 37,2025-08-12,,,224.68,Active
196,63,Eletrônicos,Item Fuga 81,2025-06-05,,2025-08-07,308.35,Deleted
197,160,Livros,Item Provident 2,2025-12-21,2025-12-23,,280.6,Sold
198,431,Eletrônicos,Item Labore 60,2025-06-23,2025-07-08,,474.06,Sold
199,256,Esportes,Item Quibusdam 38,2025-05-15,,2025-06-04,259.35,Deleted
200,213,Brinquedos,Item Nostrum 61,2025-10-08,,,129.43,Active
201,197,Móveis,Item Aliquam 77,2025-02-14,,2025-03-05,259.04,Deleted
202,36,Roupas,Item Ratione 99,2025-05-26,2025-07-21,,397.1,Sold
203,175,Livros,Item Sequi 35,2025-04-02,,,412.07,Active
204,372,Roupas,Item Repellendus 76,2025-07-31,,,294.16,Active
205,444,Móveis,Item Placeat 58,2025-03-14,,2025-05-16,273.9,Deleted
206,171,Livros,Item Reprehenderit 98,2025-12-17,,,276.28,Active
207,478,Roupas,Item Veritatis 25,2025-02-22,,,490.58,Active
208,197,Móveis,Item Neque 100,2025-04-29,2025-06-05,,211.28,Sold
209,382,Brinquedos,Item Unde 91,2025-03-01,,,457.58,Active
210,198,Esportes,Item Culpa 84,2025-07-30,,,490.6,Active
211,494,Eletrônicos,Item Ut 17,2025-07-30,,,256.12,Active
212,446,Eletrônicos,Item Occaecati 57,2025-03-31,,2025-05-13,58.86,Deleted
213,8,Esportes,Item Dolorum 19,2025-09-14,,,210.89,Active
214,39,Brinquedos,Item Quis 34,2025-01-13,,2025-02-02,175.9,Deleted
215,333,Eletrônicos,Item Aliquam 43,2025-08-07,,2025-09-27,427.65,Deleted
216,489,Roupas,Item Harum 81,2025-07-24,,2025-09-11,362.17,Deleted
217,447,Livros,Item Expedita 5,2025-06-24,,,312.56,Active
218,351,Roupas,Item Nihil 30,2025-08-24,2025-10-04,,375.92,Sold
219,51,Esportes,Item Modi 91,2025-01-20,,,437.56,Active
220,86,Esportes,Item Aspernatur 39,2025-03-14,,,452.68,Active
221,151,Roupas,Item Adipisci 48,2025-12-22,2025-12-23,,221.04,Sold
222,211,Livros,Item Accusantium 88,2025-02-09,2025-03-15,,398.33,Sold
223,41,Livros,Item Porro 49,2025-10-13,2025-10-25,,313.66,Sold
224,468,Livros,Item Quisquam 19,2025-06-25,2025-07-27,,123.77,Sold
225,236,Roupas,Item Nulla 86,2025-03-12,,2025-04-14,14.6,Deleted
226,462,Roupas,Item Tempore 87,2025-10-05,,,277.83,Active
227,484,Roupas,Item Commodi 76,2025-06-19,2025-07-18,,156.59,Sold
228,354,Roupas,Item Eum 59,2025-01-03,,,424.2,Active
229,437,Brinquedos,Item Consectetur 14,2025-07-13,2025-08-07,,126.23,Sold
230,295,Roupas,Item Optio 90,2025-05-02,,2025-06-17,154.66,Deleted
231,141,Eletrônicos,Item Quo 73,2025-05-23,,2025-07-13,433.88,Deleted
232,467,Livros,Item Officiis 96,2025-10-01,,2025-10-08,253.4,Deleted
233,398,Móveis,Item Neque 78,2025-06-25,,,402.95,Active
234,98,Livros,Item Quidem 33,2025-09-24,2025-11-04,,342.1,Sold
235,349,Móveis,Item Sunt 81,2025-04-04,,2025-06-28,57.61,Deleted
236,21,Roupas,Item Repellat 57,2025-06-23,,2025-09-14,26.35,Deleted
237,375,Móveis,Item Placeat 12,2025-01-13,,,455.72,Active
238,383,Brinquedos,Item Autem 23,2025-10-15,,,108.39,Active
239,272,Livros,Item Sapiente 35,2025-10-30,,2025-12-16,416.93,Deleted
240,468,Brinquedos,Item Consequuntur 38,2025-01-19,,,375.81,Active
241,412,Eletrônicos,Item Natus 60,2025-11-01,,,481.82,Active
242,495,Móveis,Item Laboriosam 87,2025-07-07,2025-08-25,,364.87,Sold
243,496,Livros,Item Ratione 47,2025-09-12,,,54.25,Active
244,8,Roupas,Item Nesciunt 69,2025-11-21,,,70.56,Active
245,345,Esportes,Item Sunt 87,2025-02-15,,,138.46,Active
246,422,Esportes,Item Accusamus 48,2025-01-23,,,63.09,Active
247,13,Livros,Item Laborum 72,2025-10-08,2025-11-08,,170.72,Sold
248,332,Eletrônicos,Item Consectetur 82,2025-05-01,,2025-05-30,413.69,Deleted
249,333,Brinquedos,Item Possimus 15,2025-05-31,,2025-07-09,78.49,Deleted
250,253,Eletrônicos,Item Autem 13,2025-02-09,2025-03-01,,125.05,Sold
251,199,Brinquedos,Item Excepturi 48,2025-11-08,,2025-11-26,338.54,Deleted
252,485,Livros,Item Error 54,2025-12-08,,2026-03-08,297.8,Deleted
253,454,Brinquedos,Item Temporibus 84,2025-04-16,,2025-05-06,58.52,Deleted
254,316,Brinquedos,Item Veniam 36,2024-12-23,,,26.03,Active
255,112,Brinquedos,Item Enim 57,2025-08-03,,,475.77,Active
256,51,Esportes,Item Voluptates 48,2025-03-15,,,276.79,Active
257,32,Brinquedos,Item Neque 36,2025-02-13,,2025-03-31,103.01,Deleted
258,47,Esportes,Item Repellat 28,2025-12-19,2025-12-23,,324.44,Sold
259,26,Roupas,Item Tempora 32,2025-04-19,,2025-04-22,494.52,Deleted
260,36,Livros,Item Quod 27,2025-08-16,,2025-09-12,297.33,Deleted
261,404,Livros,Item Earum 1,2025-12-21,2025-12-23,,145.86,Sold
262,277,Roupas,Item Earum 23,2025-09-28,2025-10-07,,63.86,Sold
263,8,Roupas,Item Ipsa 31,2025-09-30,2025-10-09,,298.54,Sold
264,136,Eletrônicos,Item Eaque 17,2025-09-03,2025-09-15,,373.44,Sold
265,382,Eletrônicos,Item Dolore 61,2025-04-02,,2025-04-17,229.65,Deleted
266,263,Livros,Item Dolore 14,2025-03-26,,,231.48,Active
267,23,Esportes,Item Exercitationem 85,2025-09-12,2025-10-22,,265.51,Sold
268,330,Eletrônicos,Item Eligendi 8,2025-07-27,,,499.31,Active
269,219,Esportes,Item Facilis 14,2025-05-26,,,250.23,Active
270,38,Eletrônicos,Item Illum 42,2025-09-09,,,308.07,Active
271,141,Livros,Item Ab 82,2025-11-16,2025-11-25,,296.83,Sold
272,196,Livros,Item Beatae 68,2025-12-03,,2026-01-14,154.5,Deleted
273,221,Eletrônicos,Item Numquam 90,2025-09-07,,2025-11-24,66.06,Deleted
274,450,Livros,Item Nemo 93,2025-04-15,,2025-07-08,434.09,Deleted
275,232,Móveis,Item Perspiciatis 53,2025-11-18,,,176.08,Active
276,205,Brinquedos,Item Delectus 94,2025-12-17,,,56.59,Active
277,161,Esportes,Item Molestias 33,2025-08-12,,,193.41,Active
278,473,Brinquedos,Item Repellat 9,2025-08-21,2025-10-04,,54.7,Sold
279,222,Eletrônicos,Item Minima 96,2025-12-14,2025-12-20,,372.01,Sold
280,31,Livros,Item Velit 72,2025-06-11,2025-07-17,,285.22,Sold
281,211,Roupas,Item Dolores 86,2025-07-25,,2025-08-10,471.15,Deleted
282,445,Esportes,Item Necessitatibus 7,2025-05-10,,,484.52,Active
283,181,Eletrônicos,Item Deleniti 74,2025-12-12,,2026-01-21,258.63,Deleted
284,247,Móveis,Item Commodi 14,2025-08-31,2025-10-13,,181.56,Sold
285,59,Roupas,Item Commodi 74,2025-12-18,,2026-02-04,120.82,Deleted
286,433,Livros,Item Distinctio 99,2025-02-24,,,411.03,Active
287,330,Livros,Item Nihil 4,2025-11-21,,2026-02-16,308.41,Deleted
288,137,Eletrônicos,Item Nisi 24,2025-07-20,,2025-10-17,143.9,Deleted
289,472,Roupas,Item Fuga 45,2025-09-09,,,12.99,Active
290,337,Brinquedos,Item Deleniti 9,2025-04-30,2025-06-06,,79.52,Sold
291,47,Esportes,Item Sit 68,2025-04-08,,2025-04-12,115.42,Deleted
292,233,Roupas,Item Error 21,2025-03-24,,,191.33,Active
293,398,Livros,Item Dolor 77,2025-03-22,,2025-05-03,51.63,Deleted
294,81,Livros,Item Totam 7,2025-10-22,2025-11-01,,340.24,Sold
295,227,Esportes,Item Eum 55,2025-02-01,,,247.97,Active
296,213,Roupas,Item Fugiat 28,2025-02-21,,,379.92,Active
297,57,Roupas,Item Quasi 87,2025-12-19,2025-12-23,,342.46,Sold
298,270,Esportes,Item Magnam 40,2024-12-28,,,32.25,Active
299,307,Eletrônicos,Item Qui 1,2025-01-18,,,110.17,Active
300,392,Roupas,Item Dolorem 38,2025-12-21,2025-12-23,,170.78,Sold
301,383,Brinquedos,Item Corporis 23,2025-08-19,2025-09-20,,73.3,Sold
302,257,Livros,Item Ut 86,2025-10-23,,2025-11-22,405.04,Deleted
303,442,Esportes,Item Tempora 6,2025-06-11,2025-07-07,,223.75,Sold
304,472,Eletrônicos,Item Deserunt 41,2025-05-11,,,292.12,Active
305,364,Esportes,Item Possimus 54,2025-04-10,,2025-06-01,151.86,Deleted
306,11,Roupas,Item Cupiditate 22,2025-01-11,,,402.65,Active
307,426,Esportes,Item Itaque 47,2025-08-02,,2025-09-30,53.18,Deleted
308,224,Livros,Item Dicta 52,2025-06-28,2025-07-14,,266.74,Sold
309,446,Roupas,Item Magni 96,2025-06-17,,,176.36,Active
310,399,Móveis,Item Esse 10,2025-09-03,,,260.14,Active
311,262,Móveis,Item Natus 100,2025-03-31,2025-05-04,,181.19,Sold
312,418,Móveis,Item Facilis 31,2025-02-04,,2025-04-28,60.37,Deleted
313,102,Móveis,Item Exercitationem 78,2025-06-17,,,84.91,Active
314,91,Esportes,Item Quisquam 64,2025-07-20,,2025-07-30,237.34,Deleted
315,230,Esportes,Item Rem 73,2025-07-06,,2025-09-19,325.07,Deleted
316,443,Esportes,Item Tenetur 41,2025-08-31,,2025-10-12,83.97,Deleted
317,324,Roupas,Item Debitis 36,2025-12-19,2025-12-23,,299.8,Sold
318,260,Eletrônicos,Item Amet 40,2025-06-08,,,236.25,Active
319,189,Roupas,Item Neque 10,2025-04-04,2025-04-08,,325.89,Sold
320,260,Brinquedos,Item Non 60,2025-12-18,2025-12-23,,294.36,Sold
321,231,Livros,Item Unde 84,2025-10-31,,2025-11-06,102.24,Deleted
322,257,Móveis,Item Exercitationem 8,2025-05-16,,2025-07-16,230.76,Deleted
323,366,Eletrônicos,Item Ut 65,2025-05-28,,,326.6,Active
324,363,Brinquedos,Item Velit 57,2025-10-14,2025-10-30,,266.79,Sold
325,187,Roupas,Item Saepe 37,2025-03-01,,2025-03-22,199.83,Deleted
326,348,Livros,Item Sapiente 7,2025-05-30,,,396.72,Active
327,34,Roupas,Item Itaque 13,2025-02-07,,2025-03-22,283.4,Deleted
328,146,Roupas,Item Voluptatibus 93,2025-10-04,,,427.27,Active
329,171,Eletrônicos,Item Minima 75,2025-11-16,,2025-12-06,335.17,Deleted
330,159,Esportes,Item Voluptatibus 90,2025-11-15,,,334.45,Active
331,363,Eletrônicos,Item Autem 40,2025-01-04,2025-02-12,,283.87,Sold
332,417,Móveis,Item Architecto 86,2025-09-20,,2025-11-02,354.39,Deleted
333,468,Livros,Item Rem 12,2025-09-18,,2025-12-15,326.55,Deleted
334,261,Roupas,Item Iusto 3,2025-08-17,,,187.67,Active
335,175,Brinquedos,Item Molestias 25,2025-08-19,2025-09-02,,121.01,Sold
336,40,Roupas,Item Ipsa 13,2025-02-08,2025-02-18,,258.77,Sold
337,20,Esportes,Item Deserunt 44,2025-11-16,,2026-01-23,439.43,Deleted
338,306,Brinquedos,Item Id 20,2025-06-23,,2025-07-10,89.5,Deleted
339,415,Móveis,Item Iste 93,2025-10-11,,2025-12-30,224.46,Deleted
340,187,Esportes,Item Doloribus 93,2025-08-22,,,126.39,Active
341,313,Roupas,Item Molestias 97,2025-09-04,,,376.78,Active
342,120,Livros,Item Ducimus 31,2025-06-12,,,161.64,Active
343,463,Móveis,Item Vitae 48,2024-12-24,,,342.37,Active
344,237,Roupas,Item Facilis 100,2025-01-21,,2025-03-19,197.12,Deleted
345,495,Móveis,Item Provident 26,2025-11-01,,2025-12-25,402.62,Deleted
346,129,Eletrônicos,Item Doloremque 83,2025-07-30,2025-09-24,,245.49,Sold
347,284,Eletrônicos,Item Natus 92,2025-12-05,,,424.49,Active
348,43,Móveis,Item Ad 35,2025-10-26,2025-11-14,,230.17,Sold
349,426,Brinquedos,Item Cum 12,2025-02-15,,2025-03-06,473.74,Deleted
350,231,Roupas,Item Hic 4,2025-01-13,2025-03-07,,213.3,Sold
351,258,Roupas,Item Distinctio 31,2025-08-31,,,199.22,Active
